PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,wasteTreatment,wasteClassification,wasteTransfers,confidentialityReason
2026/02/13,Sweden,2016.0,2.0,Production and processing of metals,2(f),SE.EEA/0767-130.FACILITY,Proton Finishing Markaryd AB,MARKARYD,13.58753547,56.44645062,,Disposal,HW,8.54,
2026/02/13,Norway,2008.0,5.0,Waste and wastewater management,5(b),NO.EEA/1102.0043.01.FACILITY,Forus Energigjenvinning 1,Sandnes,5.699213,58.88332,,Recovery,HW,1220.0,
2026/02/13,Sweden,2019.0,5.0,Waste and wastewater management,5(b),SE.CAED/10014627.Facility,Idbäckens Kraftvärmeverk,NYKÖPING,17.0011,58.74324,,Recovery,NONHW,5590.0,
2026/02/13,Denmark,2019.0,5.0,Waste and wastewater management,5(a),DK.CAED/000105733.FACILITY,Fortum Waste Solutions A/S,Nyborg,10.813663958426533,55.30361417134788,,Recovery,NONHW,22556.6,
2026/02/13,Sweden,2013.0,6.0,Paper and wood production and processing,6(a),SE.CAED/10024717.Facility,Smurfit Westrock Piteå AB,PITEÅ,21.44037,65.31475,,Disposal,HW,147.0,
2026/02/13,Sweden,2017.0,5.0,Waste and wastewater management,5(d),SE.CAED/10018048.Facility,Trelleborgs avfallsanläggning,TRELLEBORG,13.1005,55.38248,,Disposal,NONHW,49.0,
2026/02/13,Norway,2008.0,3.0,Mineral industry,3(a),NO.EEA/0000.0044.02.FACILITY,Brage,Stavanger,3.045078,60.5420074,,Recovery,HW,252.0,
2026/02/13,Sweden,2024.0,2.0,Production and processing of metals,2(f),SE.CAED/10014715.Facility,Bodycote Ytbehandling AB,KATRINEHOLM,16.22619,58.99853,,Disposal,HW,152.8,
2026/02/13,Sweden,2013.0,6.0,Paper and wood production and processing,6(a),SE.CAED/10020366.Facility,Skoghalls Bruk,SKOGHALL,13.43826,59.31854,,Disposal,NONHW,104.0,
2026/02/13,Denmark,2011.0,8.0,Animal and vegetable products from the food and beverage sector,8(a),DK.CAED/000106345.FACILITY,Danish Crown A/S - Herning,Herning,8.982234602012426,56.13338212441042,,Recovery,HW,2.0,
2026/02/13,Sweden,2020.0,8.0,Animal and vegetable products from the food and beverage sector,8(b)(ii),SE.CAED/10021847.Facility,SPENDRUPS BRYGGERI AB,GRÄNGESBERG,15.01324,60.07776,,Disposal,HW,101.0,
2026/02/13,Sweden,2024.0,5.0,Waste and wastewater management,5(d),SE.CAED/10020433.Facility,Djupdalens avfallsupplag,KARLSTAD,13.50437,59.44796,,Disposal,HW,1.9,
2026/02/13,Denmark,2014.0,4.0,Chemical industry,4(e),DK.CAED/000095001.FACILITY,Novo Nordisk A/S Hagedornsvej,Gentofte,12.515227145137734,55.755492665003054,,Recovery,HW,195.0,
2026/02/13,Norway,2007.0,1.0,Energy sector,1(a),NO.EEA/1263.0002.01.FACILITY,Equinor avd. Mongstad raffineri,Mongstad,5.033256,60.8149376,,Disposal,HW,10900.0,
2026/02/13,Sweden,2019.0,5.0,Waste and wastewater management,5(d),SE.CAED/10024660.Facility,Greencare Solutions,LULEÅ,22.11184,65.68832,,Disposal,NONHW,1890.0,
2026/02/13,Denmark,2008.0,3.0,Mineral industry,3(g),DK.EEA/2417.FACILITY,Hammershøj Teglværk,Tjele               ,9.73858912111655,56.4776116657192,,Disposal,HW,23.0,
2026/02/13,Sweden,2013.0,2.0,Production and processing of metals,2(b),SE.CAED/10020557.Facility,Hagfors Järnverk,HAGFORS,13.68815,60.03201,,Recovery,HW,2480.0,
2026/02/13,Sweden,2009.0,6.0,Paper and wood production and processing,6(b),SE.CAED/10015070.Facility,Fiskeby bruk,NORRKÖPING,16.1147,58.59262,,Disposal,HW,17.8,
2026/02/13,Sweden,2009.0,6.0,Paper and wood production and processing,6(a),SE.CAED/10020366.Facility,Skoghalls Bruk,SKOGHALL,13.43826,59.31854,,Disposal,NONHW,93.0,
2026/02/13,Sweden,2022.0,2.0,Production and processing of metals,2(f),SE.CAED/10015299.Facility,Proton Finishing Hillerstorp AB,HILLERSTORP,13.89295,57.32163,,Disposal,HW,242.0,
2026/02/13,Sweden,2019.0,5.0,Waste and wastewater management,5(d),SE.CAED/10021206.Facility,Gryta avfallsanläggning,Västerås,16.54427,59.66614,,Recovery,NONHW,4060.0,
2026/02/13,Sweden,2021.0,5.0,Waste and wastewater management,5(a),SE.CAED/10019803.Facility,Solör Bioenergi Recycling AB,TROLLHÄTTAN,12.31658,58.30118,,Recovery,HW,51800.0,
2026/02/13,Sweden,2012.0,5.0,Waste and wastewater management,5(b),SE.CAED/10017666.Facility,Sysavs avfallsförbränningsanläggning,MALMÖ,13.04528,55.63196,,Recovery,NONHW,122000.0,
2026/02/13,Sweden,2023.0,4.0,Chemical industry,4(b)(ii),SE.CAED/10039351.Facility,voestalpine Böhler weldCare AB,Malmö,13.05024,55.55119,,Disposal,HW,8.7,
2026/02/13,Denmark,2011.0,3.0,Mineral industry,3(g),DK.EEA/9556.FACILITY,PIPERS TEGLVÆRKER A/S,Tjele               ,9.73889109844746,56.4764418763839,,Disposal,HW,12.2,
2026/02/13,Norway,2009.0,2.0,Production and processing of metals,2(b),NO.EEA/1228.0021.01.FACILITY,TiZir Titanium & Iron AS,Tyssedal,6.55428,60.1151352,,Disposal,HW,42.0,
2026/02/13,Sweden,2017.0,5.0,Waste and wastewater management,5(a),SE.CAED/10018466.Facility,Stena Recycling Cools,HALMSTAD,12.95146,56.63845,,Disposal,HW,630.0,
2026/02/13,Sweden,2007.0,5.0,Waste and wastewater management,5(d),SE.CAED/10020413.Facility,Holmby avfallsupplag,SUNNE,13.10617,59.86243,,Disposal,HW,290.0,
2026/02/13,Norway,2012.0,6.0,Paper and wood production and processing,6(b),NO.EEA/0105.0009.01.FACILITY,Nordic Paper,Greåker,11.0351868,59.2651138,,Recovery,HW,56.0,
2026/02/13,Norway,2017.0,4.0,Chemical industry,4(b)(ii),NO.EEA/1576.0023.01.FACILITY,Equinor ASA avd.Tjeldbergodden Metanolfabrikk,Kjørsvikbugen,8.68502,63.4124222,,Disposal,HW,152.0,
2026/02/13,Norway,2012.0,8.0,Animal and vegetable products from the food and beverage sector,8(b)(ii),NO.EEA/0106.0091.01.FACILITY,Denofa as,Gamle Fredrikstad,10.9511042,59.1967621,,Recovery,HW,2.9,
2026/02/13,Sweden,2007.0,6.0,Paper and wood production and processing,6(b),SE.CAED/10020321.Facility,Åmotfors Bruk,ÅMOTFORS,12.35085,59.75763,,Disposal,HW,9.58,
2026/02/13,Denmark,2017.0,5.0,Waste and wastewater management,5(b),DK.CAED/000105787.FACILITY,Svendborg Kraftvarme P/S,Svendborg,10.608578025004949,55.05991919297627,,Disposal,HW,44.3,
2026/02/13,Denmark,2012.0,2.0,Production and processing of metals,2(d),DK.CAED/000098402.FACILITY,Ferrodan Iron A/S,Skjern,8.497113553055916,55.96563893881058,,Recovery,NONHW,4210.0,
2026/02/13,Norway,2015.0,5.0,Waste and wastewater management,5(b),NO.EEA/192292.FACILITY,Statkraft Varme- avfallsforbrenning,Trondheim,10.3730974,63.3487167,,Disposal,HW,50100.0,
2026/02/13,Norway,2009.0,2.0,Production and processing of metals,2(e)(i),NO.EEA/1438.0002.01.FACILITY,Elkem Bremanger,Svelgen,5.29649,61.77319,,Recovery,HW,436.0,
2026/02/13,Denmark,2007.0,2.0,Production and processing of metals,2(f),DK.CAED/000114105.FACILITY,Roskilde Galvanisering A/S,Roskilde,12.104408761506091,55.64298131326687,,Disposal,HW,7.0,
2026/02/13,Sweden,2024.0,5.0,Waste and wastewater management,5(d),SE.CAED/10022481.Facility,Rödsta Avfallsanläggning,SOLLEFTEÅ,17.19244,63.15039,,Disposal,NONHW,464.0,
2026/02/13,Norway,2011.0,3.0,Mineral industry,3(a),NO.EEA/0000.0008.01.FACILITY,Statfjord,Stavanger,1.852061,61.2551537,,Recovery,HW,1580.0,
2026/02/13,Sweden,2008.0,1.0,Energy sector,1(c),SE.CAED/10014262.Facility,BRISTAVERKET,SIGTUNA,17.86174,59.60967,,Recovery,NONHW,9430.0,
2026/02/13,Sweden,2018.0,5.0,Waste and wastewater management,5(a),SE.CAED/10018140.Facility,Stena Recycling AB Kretsloppsparken Kristianstad,KRISTIANSTAD,14.12013,55.99275,,Recovery,HW,887.0,
2026/02/13,Sweden,2014.0,4.0,Chemical industry,4(a)(viii),SE.CAED/10017520.Facility,Celanese Production Sweden AB,PERSTORP,13.38349,56.12128,,Disposal,HW,2.95,
2026/02/13,Sweden,2014.0,5.0,Waste and wastewater management,5(d),SE.CAED/10024486.Facility,Kavahedens avfallsanläggning,GÄLLIVARE,20.74863,67.15774,,Disposal,NONHW,10500.0,
2026/02/13,Sweden,2023.0,4.0,Chemical industry,4(b)(v),SE.CAED/10017658.Facility,Norcarb Engineered Carbons AB,MALMÖ,13.03125,55.63645,,Recovery,HW,33.362,
2026/02/13,Sweden,2023.0,5.0,Waste and wastewater management,5(d),SE.CAED/10017800.Facility,Lundåkrabuktens avfallsanläggning,LANDSKRONA,12.86207,55.86186,,Disposal,NONHW,64.0,
2026/02/13,Norway,2016.0,8.0,Animal and vegetable products from the food and beverage sector,8(a),NO.EEA/192329.FACILITY,Norsk Kylling AS,Støren,10.28472,63.0551,,Recovery,HW,78.8,
2026/02/13,Sweden,2007.0,2.0,Production and processing of metals,2(c),SE.CAED/10021273.Facility,Fagersta Stainless AB,FAGERSTA,15.78939,60.00065,,Recovery,HW,10.0,
2026/02/13,Denmark,2009.0,5.0,Waste and wastewater management,5(d),DK.EEA/5391.FACILITY,Genbrugsplads Skagen,Skagen              ,10.5750919155629,57.7369975313587,,Disposal,HW,14.0,
2026/02/13,Denmark,2023.0,6.0,Paper and wood production and processing,6(b),DK.CAED/000106351.FACILITY,Sonoco Skjern ApS,Skjern,8.500012495185617,55.9354563327972,,Recovery,NONHW,4364.0,
2026/02/13,Sweden,2015.0,2.0,Production and processing of metals,2(f),SE.CAED/10020606.Facility,Schäfer Ytbehandling i Säffle AB,SÄFFLE,12.91266,59.1251,,Disposal,HW,45.7,
2026/02/13,Denmark,2007.0,2.0,Production and processing of metals,2(f),DK.EEA/6416.FACILITY,VELSKIN APS,Juelsminde          ,9.97206191482874,55.7115975390833,,Disposal,HW,156.0,
2026/02/13,Denmark,2007.0,,,,DK.CAED/000106452.FACILITY,Novozymes Bagsværd,Bagsværd,12.455850237989024,55.75345022785023,,Recovery,HW,263.0,
2026/02/13,Sweden,2022.0,6.0,Paper and wood production and processing,6(a),SE.CAED/10020366.Facility,Skoghalls Bruk,SKOGHALL,13.43826,59.31854,,Recovery,HW,186.0,
2026/02/13,Sweden,2021.0,5.0,Waste and wastewater management,5(b),SE.CAED/10019709.Facility,Lillesjö Avfallskraftvärmeverk,UDDEVALLA,11.9835,58.37412,,Recovery,HW,3694.29,
2026/02/13,Denmark,2019.0,4.0,Chemical industry,4(e),DK.CAED/000110610.FACILITY,Xellia Pharmaceuticals ApS,København S,12.60524866100344,55.66710713738545,,Recovery,HW,278.87,
2026/02/13,Sweden,2010.0,5.0,Waste and wastewater management,5(f),SE.CAED/10017955.Facility,Ellinge Avloppsreningsverk,ESLÖV,13.30138,55.82118,,Disposal,NONHW,6360.0,
2026/02/13,Sweden,2014.0,6.0,Paper and wood production and processing,6(b),SE.CAED/10018903.Facility,Arctic Paper Munkedals AB,MUNKEDAL,11.69228,58.48034,,Recovery,HW,7.6,
2026/02/13,Sweden,2009.0,5.0,Waste and wastewater management,5(b),SE.CAED/10018458.Facility,Kristinehedsverket,HALMSTAD,12.90604,56.69214,,Disposal,HW,628.0,
2026/02/13,Norway,2011.0,2.0,Production and processing of metals,2(d),NO.EEA/0106.0056.01.FACILITY,Jøtul AS,Kråkerøy,10.9057674,59.19838,,Recovery,NONHW,195.0,
2026/02/13,Sweden,2020.0,5.0,Waste and wastewater management,5(d),SE.CAED/10015541.Facility,Miljöhantering i Jönköping,JÖNKÖPING,14.27742,57.68512,,Recovery,NONHW,53300.0,
2026/02/13,Denmark,2024.0,8.0,Animal and vegetable products from the food and beverage sector,8(a),DK.CAED/000086596.FACILITY,Danish Crown A/S - Holsted,Holsted,8.90721486566912,55.5243172918704,,Disposal,HW,2.0,
2026/02/13,Norway,2010.0,2.0,Production and processing of metals,2(e)(i),NO.EEA/1833.0035.01.FACILITY,Elkem Rana AS,Mo i Rana,14.16755,66.31336,,Disposal,NONHW,13500.0,
2026/02/13,Sweden,2018.0,3.0,Mineral industry,3(b),SE.CAED/10024478.Facility,Boliden Mineral AB - Aitikgruv,GÄLLIVARE,20.96005,67.07162,,Recovery,NONHW,15800.0,
2026/02/13,Sweden,2017.0,9.0,Other activities,9(c),SE.CAED/10019431.Facility,Tefco Tryckeri AB,GÖTEBORG,11.99148,57.73435,,Disposal,HW,44.7,
2026/02/13,Sweden,2010.0,1.0,Energy sector,1(c),SE.CAED/10015172.Facility,Bergsättersverken,MOTALA,15.00335,58.5384,,Disposal,HW,196.0,
2026/02/13,Sweden,2017.0,1.0,Energy sector,1(c),SE.CAED/10021702.Facility,Västermalmsverket,FALUN,15.61128,60.6078,,Recovery,NONHW,5040.0,
2026/02/13,Sweden,2008.0,5.0,Waste and wastewater management,5(d),SE.CAED/10024618.Facility,S Sunderbyn avfallsanläggning,SÖDRA SUNDERBYN,21.9724,65.66891,,Recovery,NONHW,37800.0,
2026/02/13,Sweden,2024.0,3.0,Mineral industry,3(a),SE.CAED/10021789.Facility,Garpenbergsgruvan,Avesta,16.1899,60.31177,,Disposal,HW,258.0,
2026/02/13,Sweden,2007.0,6.0,Paper and wood production and processing,6(a),SE.CAED/10024325.Facility,Billerud Karlsborgs bruk,KARLSBORGSVERKEN,23.28767,65.79194,,Disposal,HW,42.0,
2026/02/13,Sweden,2019.0,8.0,Animal and vegetable products from the food and beverage sector,8(c),SE.CAED/10024570.Facility,Luleå mejeri/Nordan,LULEÅ,22.10574,65.57565,,Disposal,NONHW,0.55,
