PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2026/02/13,Norway,2010,3.0,Mineral industry,Carbon monoxide (CO),2950000.0
2026/02/13,Norway,2007,4.0,Chemical industry,Total nitrogen,29400.0
2026/02/13,Sweden,2008,5.0,Waste and wastewater management,Methane (CH4),15386000.0
2026/02/13,Denmark,2023,6.0,Paper and wood production and processing,Nitrogen oxides (NOX),46480.0
2026/02/13,Sweden,2019,2.0,Production and processing of metals,Arsenic and compounds (as As),227.0
2026/02/13,Denmark,2012,3.0,Mineral industry,Nitrogen oxides (NOX),1851000.0
2026/02/13,Sweden,2024,1.0,Energy sector,Hydro-fluorocarbons (HFCS),1000.0
2026/02/13,Norway,2013,2.0,Production and processing of metals,Carbon dioxide (CO2) excluding biomass,4281000000.0
2026/02/13,Denmark,2019,4.0,Chemical industry,Sulphur oxides (SOX),1752.6
2026/02/13,Sweden,2021,1.0,Energy sector,Ammonia (NH3),11800.0
2026/02/13,Sweden,2024,4.0,Chemical industry,Non-methane volatile organic compounds (NMVOC),1023536.0
2026/02/13,Denmark,2020,6.0,Paper and wood production and processing,Carbon dioxide (CO2),34911000.0
2026/02/13,Sweden,2016,4.0,Chemical industry,Mercury and compounds (as Hg),17.0
2026/02/13,Norway,2014,2.0,Production and processing of metals,Carbon dioxide (CO2) excluding biomass,4784000000.0
2026/02/13,Denmark,2024,3.0,Mineral industry,Nitrogen oxides (NOX),2727527.0
2026/02/13,Sweden,2024,9.0,Other activities,Non-methane volatile organic compounds (NMVOC),242200.0
2026/02/13,Denmark,2016,1.0,Energy sector,Methane (CH4),2090000.0
2026/02/13,Sweden,2023,5.0,Waste and wastewater management,PCDD + PCDF (dioxins + furans) (as Teq),0.000105022
2026/02/13,Sweden,2011,3.0,Mineral industry,Carbon monoxide (CO),2630000.0
2026/02/13,Norway,2007,4.0,Chemical industry,"1,2-dichloroethane (DCE-1,2)",8770.0
2026/02/13,Denmark,2020,8.0,Animal and vegetable products from the food and beverage sector,Sulphur oxides (SOX),490542.0
2026/02/13,Sweden,2013,3.0,Mineral industry,Carbon dioxide (CO2) excluding biomass,2566500000.0
2026/02/13,Sweden,2015,3.0,Mineral industry,Ammonia (NH3),127000.0
2026/02/13,Sweden,2015,3.0,Mineral industry,Nickel and compounds (as Ni),58.7
2026/02/13,Norway,2014,2.0,Production and processing of metals,Nickel and compounds (as Ni),4424.2
2026/02/13,Denmark,2013,4.0,Chemical industry,Hydrochlorofluorocarbons (HCFCs),178.2
2026/02/13,Sweden,2014,1.0,Energy sector,Nitrous oxide (N2O),401400.0
2026/02/13,Norway,2017,2.0,Production and processing of metals,Perfluorocarbons (PFCs),15103.0
2026/02/13,Norway,2007,3.0,Mineral industry,Carbon dioxide (CO2),11702000000.0
2026/02/13,Sweden,2007,2.0,Production and processing of metals,Chlorine and inorganic compounds (as HCl),687200.0
2026/02/13,Sweden,2012,4.0,Chemical industry,"1,2-dichloroethane (DCE-1,2)",30400.0
2026/02/13,Sweden,2011,6.0,Paper and wood production and processing,Zinc and compounds (as Zn),3721.0
2026/02/13,Denmark,2020,,,Particulate matter (PM10),7.2e-05
2026/02/13,Denmark,2016,3.0,Mineral industry,Carbon monoxide (CO),1970000.0
2026/02/13,Denmark,2018,4.0,Chemical industry,Non-methane volatile organic compounds (NMVOC),982409.0
2026/02/13,Denmark,2024,4.0,Chemical industry,Non-methane volatile organic compounds (NMVOC),849678.0
2026/02/13,Norway,2017,3.0,Mineral industry,Ammonia (NH3),202100.0
2026/02/13,Norway,2007,4.0,Chemical industry,Nitrous oxide (N2O),4450000.0
2026/02/13,Denmark,2019,4.0,Chemical industry,Chlorine and inorganic compounds (as HCl),201.0
2026/02/13,Sweden,2015,1.0,Energy sector,Methane (CH4),328000.0
2026/02/13,Sweden,2007,4.0,Chemical industry,Benzene,7000.0
