PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2026/02/13,United Kingdom,2014,1,Energy sector,Anthracene,103
2026/02/13,Italy,2007,2,Production and processing of metals,Fluorine and inorganic compounds (as HF),219310
2026/02/13,Italy,2020,3,Mineral industry,Carbon dioxide (CO2),13999477942.7
2026/02/13,United Kingdom,2012,4,Chemical industry,Sulphur hexafluoride (SF6),2154
2026/02/13,Germany,2024,4,Chemical industry,Nitrogen oxides (NOX),11612000
2026/02/13,Germany,2007,5,Waste and wastewater management,Sulphur oxides (SOX),1545000
2026/02/13,Germany,2024,1,Energy sector,Benzene,24030
2026/02/13,Germany,2016,6,Paper and wood production and processing,Nitrous oxide (N2O),25000
2026/02/13,Spain,2024,3,Mineral industry,Carbon dioxide (CO2),17977000000
2026/02/13,Sweden,2009,2,Production and processing of metals,Chlorine and inorganic compounds (as HCl),400400
2026/02/13,Lithuania,2008,3,Mineral industry,Sulphur oxides (SOX),428000
2026/02/13,Czechia,2019,5,Waste and wastewater management,Hydrochlorofluorocarbons (HCFCs),18.813
2026/02/13,France,2007,4,Chemical industry,Zinc and compounds (as Zn),11524
2026/02/13,France,2021,8,Animal and vegetable products from the food and beverage sector,Hydro-fluorocarbons (HFCS),12429
2026/02/13,Italy,2007,9,Other activities,Trichloroethylene (TRI),3180
2026/02/13,Austria,2008,4,Chemical industry,Hydrochlorofluorocarbons (HCFCs),1217
2026/02/13,France,2009,4,Chemical industry,Vinyl chloride,174600
2026/02/13,Hungary,2021,3,Mineral industry,Benzene,3520
2026/02/13,Spain,2024,2,Production and processing of metals,Carbon dioxide (CO2),5126000000
2026/02/13,Netherlands,2016,4,Chemical industry,Carbon dioxide (CO2),16647000000
2026/02/13,Austria,2024,8,Animal and vegetable products from the food and beverage sector,Carbon dioxide (CO2),209000000
2026/02/13,Romania,2017,1,Energy sector,Non-methane volatile organic compounds (NMVOC),1890000
2026/02/13,Spain,2022,3,Mineral industry,Particulate matter (PM10),1976700
2026/02/13,France,2022,2,Production and processing of metals,Tetrachloroethylene,5730
2026/02/13,Austria,2013,2,Production and processing of metals,Mercury and compounds (as Hg),243.5
2026/02/13,Norway,2009,2,Production and processing of metals,Fluorides (as total F),383070
2026/02/13,Croatia,2020,4,Chemical industry,Particulate matter (PM10),113000
2026/02/13,Hungary,2015,8,Animal and vegetable products from the food and beverage sector,Carbon dioxide (CO2),281000000
2026/02/13,France,2007,5,Waste and wastewater management,Zinc and compounds (as Zn),6314
2026/02/13,Sweden,2008,2,Production and processing of metals,Nickel and compounds (as Ni),647.6
2026/02/13,Finland,2020,2,Production and processing of metals,Carbon dioxide (CO2) excluding biomass,2552000000
2026/02/13,Italy,2017,2,Production and processing of metals,Hydrogen cyanide (HCN),925
2026/02/13,Germany,2017,1,Energy sector,Methane (CH4),1841000
2026/02/13,Netherlands,2009,4,Chemical industry,Carbon monoxide (CO),8165000
2026/02/13,Finland,2017,5,Waste and wastewater management,Carbon dioxide (CO2) excluding biomass,774700000
2026/02/13,Netherlands,2013,5,Waste and wastewater management,PCDD + PCDF (dioxins + furans) (as Teq),0.000301
2026/02/13,Portugal,2008,4,Chemical industry,Ammonia (NH3),325100
2026/02/13,Slovakia,2016,2,Production and processing of metals,Naphthalene,16600
2026/02/13,Italy,2015,4,Chemical industry,Carbon dioxide (CO2),4450000000
